Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,Funded by 4Culture,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location,Latitude,Longitude
5th Avenue Theatre,(206) 625-1900,www.5thavenue.org,44154,Downtown,Y,Performance,1979,R,1926,2034,1979,0,1,2100,N,0,Y,0,Y,Y,Y,,Y,,5,,,,,,,0,1308 5th Ave Seattle WA 98101,"(47.6091749, -122.3339671)",47.6091749,-122.3339671
Washington Park Arboretum and Madison Park Graham Visitors Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,2300 Arboretum Drive E Seattle WA 98112,"(47.638016, -122.294137)",47.638016,-122.294137
Erickson Theater,(206) 427-5207,www.seattlecentral.edu,7500,Capitol Hill,Y,Performance,2007,R,2004,,2004,2,1,141,N,0,Y,0,Y,,N,,N,,1,,,,,,,0,1524 Harvard Ave Seattle WA 98122,"(47.6148138, -122.3217378)",47.6148138,-122.3217378
ArtsFund,(206) 281-9050,www.artsfund.org,3700,Queen Anne,Y,Arts/Cultural Administration or Advocacy,2006,O,1964,,1970,1,0,,N,,Y,40,Y,N,N,,N,,5,,,,,,,0,10 Harrison St Suite 200 Seattle WA 98109,"(47.61819595, -122.3362331)",47.61819595,-122.3362331
JCCCW Japanese Cultural & Community Center of WA,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,1414 S Weller St Seattle WA 98144,"(47.597744, -122.312012)",47.597744,-122.312012
Brass Tacks,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,6031 Airport Way S Seattle WA 98108,"(47.548977, -122.31663)",47.548977,-122.31663
Nu Black Arts West Theatre,(206) 329-3328,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,843 Hiawatha Pl. S Suite #305 Seattle WA 98144,"(47.594673, -122.309662)",47.594673,-122.309662
ZINC Contemporary,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,119 Prefontaine Place S,"(47.60119, -122.3296)",47.60119,-122.3296
Magnolia Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,2550 34th Ave W Seattle WA 98199,"(47.644508, -122.399582)",47.644508,-122.399582
Seattle Public Library High Point,(206) 684-7454,www.spl.org,7200,West Seattle,Y,Literary,2003,Other,2004,0,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,,5,,,,,,,0,3411 S.W. Raymond St Seattle WA 98126,"(47.54807515, -122.3758471)",47.54807515,-122.3758471
Fountainhead Gallery,(206) 285-4467,www.fountainheadgallery.com,2100,Queen Anne,N,Visual,1996,R,1927,2021,1996,0,0,0,Y,1500,Partial,0,Y,N,Y,,N,,4,,,,,,,0,625 W McGraw St Seattle WA 98119,"(47.6394417, -122.3660888)",47.6394417,-122.3660888
Pacific Northwest Ballet,(206) 441-9411,www.pnb.org,51000,Uptown,Y,Studios,1993,R,1993,2031,1972,1,1,150,N,,Y,0,Y,Y,N,,Y,,5,,,,,,,0,301 Mercer Street Seattle WA 98109,"(47.623844, -122.349586)",47.623844,-122.349586
Seattle Neighborhood Group,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,1810 E. Yesler Way Seattle WA 98122,"(47.601849, -122.308388)",47.601849,-122.308388
"Photo-tronics, Inc.",,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,513 Dexter Ave. N. Seattle WA 98109,"(47.623726, -122.342773)",47.623726,-122.342773
The Audio Connection,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,5621A University Way Northeast Seattle WA 98105,"(47.669975, -122.313045)",47.669975,-122.313045
Danse Perdue's Psychomachia Theater,(206) 383-4105,www.danseperdue.org,2000,SODO,,Multi-use,2009,R,1928,It's month to month.,2000,0,1,50,Y,1400,,0,Y,Y,N,,N,,2,,,,,,,0,1534 1st Ave S Seattle WA 98134,"(47.5719192, -122.3342902)",47.5719192,-122.3342902
Stonington Gallery,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,125 S Jackson St,"(47.598918, -122.333159)",47.598918,-122.333159
The Hyogo Business and Cultural Center,,,,,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,0,1001 4th Ave Suite 2330 Seattle WA 98154,"(47.606213, -122.333794)",47.606213,-122.333794
Jefferson Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,3801 Beacon Ave S Seattle WA 98108,"(47.569634, -122.307473)",47.569634,-122.307473
Earwig Studio,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,74 S Lucile St Seattle WA 98134,"(47.553658, -122.335594)",47.553658,-122.335594
Impact Hub Seattle,(206) 430-6007,www.impacthubseattle.com,20000,Pioneer Square,N,Live/Work,2011,R,1905,2024,2010,2,0,0,Y,2000,Partial,0,Y,Y,Y,,N,,5,,,,,,,0,220 2nd Ave S Seattle WA 98104,"(47.6007271, -122.3313269)",47.6007271,-122.3313269
Paragon,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,2125 Queen Anne Ave N Seattle WA 98109,"(47.6378686, -122.3571792)",47.6378686,-122.3571792
Bitter Lake Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,13035 Linden Ave N Seattle WA 98133,"(47.72447, -122.348)",47.72447,-122.348
Shunpike,(206) 905-1026,www.shunpike.org,,International District,,Arts/Cultural Administration or Advocacy,2017,R,1932,,2000,2,,,,,,,,,,,Y,,,,,,,,,0,"815 Seattle Blvd S, Seattle, WA  98134","(47.59507, -122.327179)",47.59507,-122.327179
The Collaboratory,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,,0,5623 Rainier Ave S Seattle WA 98118,"(47.551707, -122.277981)",47.551707,-122.277981
Haller Lake United Methodist Church,(206) 362-5383,www.hallerlakeumc.org,1200,Haller Lake,Y,Music,1952,O,1952,0,1912,0,0,0,N,0,Y,100,Y,N,N,,N,,5,,,,,,,0,13055 1st Ave NE Seattle WA 98125,"(47.72465145, -122.3293843)",47.72465145,-122.3293843
Urban Light Studios,2067087281,http://urbanlightstudios.com/,4000,Greenwood,N,Studios,2008,R,1922,2017,2008,0,0,,Y,1500,Y,0,,Y,N,,N,,5,,,,,,,0,8537 Greenwood Ave N Seattle WA 98103,"(47.691631, -122.355713)",47.691631,-122.355713
St Rigsby and His Amazing Silhouettes,,www.corykelleycreative.com/sgtrigsby,46,Central District,Y,Performance,2012,R,,It's month to month.,1998,4,0,0,N,0,N,0,N,N,N,,N,,3,,,,,,,0,,,,
The Seattle Times,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000 Denny Way Seattle WA 98109,"(47.619053, -122.336395)",47.619053,-122.336395
Sunshine from Polynesia,(206) 282-0769,www.sunshinefrompolynesia.com,400,Magnolia,N,Performance,1985,O,1908,,1985,0,0,0,N,0,I don't know.,3,I don't know.,N,N,,N,,5,,,,,,,0,4524 33rd Avenue W Seattle WA 98199,"(47.66209, -122.39917)",47.66209,-122.39917
Georgetown Atelier,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,5628 Airport way S #330 Seattle WA 98108,"(47.551817, -122.319454)",47.551817,-122.319454
First Free Methodist,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,,0,3200 3rd Ave West Seattle WA 98119,"(47.649357, -122.360626)",47.649357,-122.360626
"University of Washington 3D4M School of Art, Ceramic Metal Arts Building",(206) 543-0970,www.washington.edu,40000,University District and Laurelhurst/Sand Point,Government,Visual,,Other,1965,,,,,,Y,800,Y,,N,N,N,,N,,5,,,,,,,,4205 Mary Gates Memorial Dr NE Seattle WA 98105,"(47.6598273, -122.2922528)",47.6598273,-122.2922528
Historic Seattle Dearborn House,,,,,,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,0,1117 Minor Ave Seattle WA 98101,"(47.610874, -122.32547)",47.610874,-122.32547
All That Dance,206-457-4891,info@all-that-dance.com,3000,Greenwood,N,Performance,2012,R,1970,2023,1995,1,0,,N,,Partial,25,N,N,N,,N,,4,,,,,,,0,320 N 85th St Seattle WA 98103,"(47.691212, -122.354279)",47.691212,-122.354279
Arab Center of Washington,,www.arabcenterwa.org,200,Haller Lake,Y,Arts/Cultural Administration or Advocacy,2001,R,1980,,1992,1,0,,I don't know.,0,Y,30,N,N,N,,Y,,4,,,,,,,0,12525 28th Ave NE 2nd Floor Seattle WA 98125,"(47.719806, -122.297703)",47.719806,-122.297703
Room 104 Gallery (CLOSED) in Tashiro Kaplan,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,2014-08-01T00:00:00.000,1,306 S. Washington St #104 Seattle WA 98104,"(47.6010201, -122.3298371)",47.6010201,-122.3298371
City Hall Lobby Gallery & Anne Focke Gallery,,http://www.seattle.gov/arts/publicart/city_hall.asp,,Downtown,Other,Visual,2005,Other,2005,,1971,,0,0,Y,1392,Y,0,Y,Y,N,,N,,5,,,,,,,0,600 4th Ave Seattle WA 98104,"(47.6038849, -122.3300938)",47.6038849,-122.3300938
The Northwest School,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,1415 Summit Ave Seattle WA 98122,"(47.6133929, -122.3259406)",47.6133929,-122.3259406
Pound Arts,(206) 323-0557,www.poundarts.com,5000,Capitol Hill,,Visual,1988,R,1925,It's month to month.,1988,0,0,0,Y,500,,0,N,Y,N,,N,,3,,,,,,,0,1216 10th Ave Seattle WA 98122,"(47.6127484, -122.3192097)",47.6127484,-122.3192097
KCTS 9,"401 Mercer St. Seattle, WA, 98109",,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"(47.623882, -122.348251)",47.623882,-122.348251
Gasworks Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,3815 4th Ave NE Seattle WA 98105,"(47.654293, -122.324905)",47.654293,-122.324905
AXIS Pioneer Square,(206) 681-9316,www.axispioneersquare.com,6000,Pioneer Square,N,Performance,2013,R,1890,,2013,0,0,,Y,800,I don't know.,0,Y,I don't know.,Y,,N,,4,,,,,,,0,308 1st Ave S Seattle WA 98104,"(47.615789, -122.3441663)",47.615789,-122.3441663
Linda Hodges Gallery,(206) 624-3034,www.lindahodgesgallery.com,2500,Pioneer Square,N,Visual,1956,R,1925,,1983,2,0,,Y,2500,I don't know.,0,Y,N,N,,N,,5,,,,,,,0,316 1st Ave S Seattle WA 98146,"(47.599457, -122.333794)",47.599457,-122.333794
Crybaby Studios,(206) 660-0117,www.crybabystudios.com,14000,Capitol Hill,N,Music,1998,R,1910,2018,1998,0,0,0,N,0,,0,Y,Y,N,,N,,1,,,,,,,0,11th Ave Seattle WA 98122,"(47.6129328, -122.3181106)",47.6129328,-122.3181106
KXSU Radio,(206) 296-6000,www.ksubseattle.org,500,First Hill,Y,Music,2005,O,1950,0,1996,1,1,,N,0,,0,N,N,N,,N,,5,,,,,,,0,901 12th Ave Seattle WA 98122,"(47.6106553, -122.3171103)",47.6106553,-122.3171103
Seattle Public Library Wallingford,(206) 684-4088,www.spl.org,2000,Wallingford,Y,Literary,1999,R,2000,2029,1913,1,0,0,N,0,Y,,Y,Y,Y,,Y,,5,,,,,,,0,1501 N. 45th St. Seattle WA 98103,"(47.66116457, -122.3388849)",47.66116457,-122.3388849
Seattle Center EMP and Sky Church,(206) 770-2700,www.empmuseum.org,140000,Seattle Center in Uptown,Y,Multi-use,2000,Other,2000,0,1990,0,1,191,Y,23100,Y,0,Y,N,Y,,Y,,4,,,,,,,0,325 5th Ave N Seattle WA 98109,"(47.62149775, -122.3482387)",47.62149775,-122.3482387
Log House Museum,(206) 938-5293,www.loghousemuseum.info,1500,West Seattle,Y,Heritage,1997,Other,1904,0,1984,1,0,0,N,0,Partial,0,Y,N,N,,N,,5,,,,,,,0,3003 61st Ave SW Seattle WA 98116,"(47.5775947, -122.4109498)",47.5775947,-122.4109498
Freehold Theatre Lab Studio,2063237499,www.freeholdtheatre.org,7000,Chinatown/International District,Y,Arts/Cultural Training or Education,2017,Rent,1910,2026,1991,3,1,99,N,,N,,N,Yes,N,Freehold engages artists of all levels in training and experimentation so that they may become more innovative and heartfelt in generating theatre that has a lasting impact on the community we serve.,C,"Yes, currently",4,2,General,General,N/A,N/A,,,517 Maynard Ave. S,"(47.59782, -122.325297)",47.59782,-122.325297
Teatro ZinZanni,(206) 802-0015,www.zinzanni.com/seattle,28000,Uptown,Y,Performance,2006,R,2006,2015,1998,2,1,285,N,0,Y,0,Y,N,Y,,N,,4,,,,,,2017-03-05T00:00:00.000,1,222 Mercer St Seattle WA 98109,"(47.6249259, -122.3518443)",47.6249259,-122.3518443
Admiral Theatre,,,,West Seattle,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,2343 California Ave SW Seattle WA 98116,"(47.5819689, -122.3869421)",47.5819689,-122.3869421
Capitol Cider,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,818 E Pike St Seattle WA 98122,"(47.61407, -122.321734)",47.61407,-122.321734
CoCA,(206) 728-1980,www.cocaseattle.org,4600,Georgetown,Y,Visual,2010,R,1983,2013,1980,10,0,0,Y,4000,Y,295,N,N,N,,Y,,4,,,,,,,0,5701 6th Ave S #258 Seattle WA 98108,"(47.5514664, -122.3283134)",47.5514664,-122.3283134
The Makery,(206) 954-3497,https://themakeryseattleblog.wordpress.com,500,Seward Park,N,Arts/Cultural Training or Education,2,R,1940,0,2011,0,,,N,,N,,N,No,N,To bring fun art experiences to people in South Seattle,N,,4,3,General,General,N/A,N/A,,0,5019 52nd St Seattle WA 98118,"(47.556461, -122.268508)",47.556461,-122.268508
South Park Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,8319 8th Ave S Seattle WA 98108,"(47.52876, -122.322873)",47.52876,-122.322873
American Dance Institute,(206) 783-0755,www.americandanceinstitute.com,2800,Greenwood,N,Arts/Cultural Training or Education,1988,R,1940,2018,1988,0,0,0,N,0,N,2,Y,Y,N,,N,,3,,,,,,,0,8001 Greenwood Ave N Seattle WA 98103,"(47.6870482, -122.3554887)",47.6870482,-122.3554887
Bell & Reed,,,,Pioneer Square,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,1,15 Prefontaine Pl. S Suite 510 Seattle WA 98104,"(47.601719, -122.330269)",47.601719,-122.330269
WaMu Theater,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000 Occidental Ave S Seattle WA 98134,"(47.593601, -122.3334874)",47.593601,-122.3334874
Miller Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,330 19th Ave E Seattle WA 98112,"(47.621688, -122.307328)",47.621688,-122.307328
Egan's Ballard Jam House,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,1707 NW Market St Seattle WA 98107,"(47.6685294, -122.3793357)",47.6685294,-122.3793357
Treason Gallery,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,319 3rd Ave S,"(47.599454, -122.330651)",47.599454,-122.330651
Project-106 Professional Artist Studios,,www.project-106.com,4000,Pioneer Square,N,Studios,6,Rent,100,2027,2013,0,0,0,Y,600,N,,Y,Yes,N,To provide professional artist work spaces at competetive prices.,N,No,5,5,general,general,N/A,N/A,,,106 3rd Ave S,,,
Music Center of the Northwest,2065268443,mcnw.org,7500,Greenwood,Y,Music,1995,R,1952,,1989,2,1,150,N,,Partial,35,Y,Y,N,,Y,,5,,,,,,,0,901 N 96th St Seattle WA 98103,"(47.698452, -122.346947)",47.698452,-122.346947
Everyday Music,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,1520 10th Ave Seattle WA 98122,"(47.614746, -122.319069)",47.614746,-122.319069
Danaca Design,(206) 524-0916,www.danacadesign.com,1100,University,N,Visual,2003,R,1902,None,2001,1,0,0,Y,64,Partial,0,Y,N,N,,N,,1,,,,,,,0,5619 University Way NE Seattle WA 98105,"(47.6701069, -122.313258)",47.6701069,-122.313258
Hyena Culture,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,211 1st Ave S,"(47.600423, -122.33458)",47.600423,-122.33458
Atlas Theatre,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,3509 Fremont Ave N Seattle WA 98103,"(47.65066, -122.34989)",47.65066,-122.34989
Seattle Arts & Lectures,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,205 S Findlay St Seattle WA 98108,"(47.5524608, -122.3317069)",47.5524608,-122.3317069
University of Washington Jacob Lawrence Gallery,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,Art Building Room 132 West Stevens Way NE Seattle WA 98105,"(47.6585722, -122.3065403)",47.6585722,-122.3065403
Tula's,(206) 443-4221,www.tulas.com,3000,Belltown,N,Performance,1993,R,1950,2014,1993,0,1,96,N,0,,0,Y,N,Y,,N,,3,,,,,,,0,2214 2nd Ave Seattle WA 98121,"(47.6136108, -122.3444191)",47.6136108,-122.3444191
Macha Monkey Productions,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-31T00:00:00.000,1,2222 2nd Ave #200 Seattle WA 98121,"(47.613483, -122.344756)",47.613483,-122.344756
Benaroya Hall,(206) 215-4800,www.seattlesymphony.org/benaroya,362250,Downtown,Y,Music,1998,R,1998,2083,1998,0,3,3100,Y,210000,Y,430,Y,Y,Y,,N,,4,,,,,,,0,200 University St Seattle WA 98101,"(47.60812795, -122.3369748)",47.60812795,-122.3369748
Grover Thurston Gallery,(206) 223-0816,www.groverthurston.com,1500,Pioneer Square,N,Visual,2010,R,1910,,1989,2,0,0,Y,1500,Partial,0,Y,N,N,,N,,4,,,,,,,0,319 3rd Ave S Seattle WA 98104,"(47.5994156, -122.3305147)",47.5994156,-122.3305147
Seattle Pinball Museum,(206) 623-0759,www.facebook.com/seattle-pinball-museum,1980,International District,N,Arts/Cultural Training or Education,2010,R,1910,2014,2010,0,0,0,N,0,Y,0,Y,N,Y,,N,,2,,,,,,,0,508 Maynard Ave S Seattle WA 98104,"(47.5980081, -122.3248662)",47.5980081,-122.3248662
Rainier Valley Historical Society,(206) 723-1663,www.rainiervalleyhistory.org,300,Rainier Valley,Y,Heritage,2007,R,1908,,1993,2,0,0,N,0,Y,0,Y,N,N,,Y,,4,,,,,,,0,3710 S Ferdinand Seattle WA 98118,"(47.55786, -122.285888)",47.55786,-122.285888
Open Flight Studio,(206) 632-0067,www.openflightstudio.org,1000,University District,,Performance,2001,R,,2015,2001,0,0,0,N,0,,2,N,Y,N,,N,,3,,,,,,,0,4205 University Way NE Seattle WA 98105,"(47.6585538, -122.3133686)",47.6585538,-122.3133686
The Tudor Choir,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,2225 Eastlake Ave E #103 Seattle WA 98102,"(47.639149, -122.326256)",47.639149,-122.326256
University of Washington Samuel E. Kelly Ethnic Cultural Center,(206) 543-4635,www.depts.washington.edu/ecc,25000,University District,,Performance,2011,Other,2012,0,1970,1,1,161,N,0,Y,0,Y,Y,N,,N,,5,,,,,,,0,3931 Brooklyn Ave NE Seattle WA 98105,"(47.65492433, -122.3145764)",47.65492433,-122.3145764
METHOD Gallery,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,106 3rd Ave S,"(47.601378, -122.329965)",47.601378,-122.329965
Neptune Music Co,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,4344 Brooklyn Ave NE Seattle WA 98105,"(47.66093, -122.314283)",47.66093,-122.314283
STG Paramount Theatre,(206) 902-5500,www.stgpresents.org/paramount,112297,Downtown,Y,Performance,1991,O,1928,0,1991,0,1,2804,N,0,Y,0,Y,Y,Y,,Y,,5,,,,,,,0,911 Pine St Seattle WA 98101,"(47.6132437, -122.331356)",47.6132437,-122.331356
Seattle Public Library Magnolia,(206) 386-4225,www.spl.org,7799,Magnolia,Y,Literary,1963,Other,1964,0,1913,0,0,0,N,0,Y,,Y,Y,Y,,Y,,5,,,,,,,0,2801 34th Ave W Seattle WA 98199,"(47.64532095, -122.4013599)",47.64532095,-122.4013599
Pink Door,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,1919 Post Alley Seattle WA 98101,"(47.6102805, -122.3424974)",47.6102805,-122.3424974
Seward Park Clay Studio,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,5900 Lake Washington Blvd S Seattle WA 98118,"(47.5494855, -122.2518888)",47.5494855,-122.2518888
Meadowbrook Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,10517 35th Ave NE Seattle WA 98125,"(47.705251, -122.290856)",47.705251,-122.290856
Tmrw Party,,,,,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Green Eileen,(206) 722-2551,http://www.greeneileen.org/,2500,Columbia City,N,Arts/Cultural Training or Education,2013,R,1900,2021,2013,,,,N,,Y,,Y,No,N,"GREEN EILEEN is a recycled clothing program committed to reducing environmental impact and generating income to support programs that improve the lives of women and girls. By selling gently worn EILEEN FISHER clothing, we extend the life of timeless garments and are able to support the non-profit programs in which we so strongly believe.",N,,5,3,"Women, girls & their connected communities","Women, girls & their connected communities",,,,0,4860 Rainier Ave S.,"(47.558342, -122.284828)",47.558342,-122.284828
Gallery 110,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 3rd Ave S,"(47.601254, -122.330075)",47.601254,-122.330075
Echo Echo Gallery,(206) 633-1236,www.echoechogallery.com,3000,Greenwood,N,Visual,2010,R,,It's month to month.,2007,0,0,0,Y,600,N,0,Y,Y,Y,,N,,3,,,,,,,0,8537 Greenwood Ave N Seattle WA 98103,"(47.6916342, -122.3557113)",47.6916342,-122.3557113
On the Boards,(206) 217-9886,www.ontheboards.org,27500,Uptown,Y,Performance,1996,O,1912,0,1978,1,2,404,N,0,Y,39,Y,Y,Y,,Y,,5,,,,,,,0,100 W Roy St Seattle WA 98119,"(47.6259637, -122.3582053)",47.6259637,-122.3582053
SPLAB (Seattle Poetics LAB),(206) 422 - 5002,http://www.splab.org,125,Pritchard Beach,Y,Literary,2017,Own,1970,0,1993,3,0,0,N,,Y,,N,No,N,"The SPLAB mission is to present poetry events, develop the audience and resources to support poetry, lead a bioregional cultural investigation using poetics, poetry festivals, publications and education as main methodologies and build bioregional community through shared experience of the spoken and written word.",P,"Yes, currently",5,5,"Low income, Seniors. We have two Latinx on the Board.","Low income, Seniors. We have two Latinx on the Board.",No,Yes,,,9030 Seward Park Av S #213,,,
Rainier Chamber of Commerce & Rainier Chamber Foundation,206.725.2010,www.rainierchamber.com,1000,Columbia City,Y,Community Center,2009,R,2009,2020,1923,5,0,0,I don't know.,,Y,0,Y,N,N,,Y,,5,,,,,,,0,5290 Rainer Ave S Seattle WA 98118,"(47.554125, -122.281108)",47.554125,-122.281108
Seattle Scenic Studios,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2105 S Grand St Seattle WA 98144,"(47.58682808, -122.3044908)",47.58682808,-122.3044908
University of Washington Glenn Hughes Penthouse Theatre,(206) 543-5140,www.depts.washington.edu/uwdrama/performances/venues.shtml,3000,University District,,Performance,1938,Other,1939,0,1937,0,1,160,N,0,Partial,,Y,N,N,,N,,5,,,,,,,0,17th Avenue NE and NE 45th St Seattle WA 98145,"(47.658765, -122.3178929)",47.658765,-122.3178929
Glazer's Camera,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,433 8th Ave N Seattle WA 98109,"(47.622963, -122.341438)",47.622963,-122.341438
Seattle Fandango Project in El Centro De La Raza,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,2524 16th Ave S Seattle WA 98144,"(47.5803398, -122.3112978)",47.5803398,-122.3112978
Christian Grevstad Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,312 Occidental Ave S Seattle WA 98104,"(47.5995076, -122.3326934)",47.5995076,-122.3326934
School of Rock West Seattle,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,4701 41st Ave SW Suite 120 Seattle WA 98116,"(47.560926, -122.384098)",47.560926,-122.384098
Somali Community Services of Seattle,(206) 422-7074,www.somcss.net,2287,Southside Seattle,Y,Community Center,2013,R,1980,2018,1995,2,1,50,N,0,Y,28,I don't know.,Y,N,,I don't know.,,4,,,,,,,0,8810 Renton Ave South Seattle WA 98118,"(47.523941, -122.2762979)",47.523941,-122.2762979
Kobo at Hibo,,,,International District,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,604 S Jackson St Seattle WA 98104,"(47.599202, -122.326082)",47.599202,-122.326082
88 Keys Dueling Piano Bar,,,,Pioneer Square,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,315 2nd Ave S Seattle WA 98104,"(47.599537, -122.331978)",47.599537,-122.331978
Coyote Central,(206) 323-7276,www.coyotecentral.org,5000,Central District,Y,Arts/Cultural Training or Education,2011,O,1929,0,1986,2,0,0,Y,700,Y,6,Y,Y,Y,,Y,,5,,,,,,,0,2300 E Cherry St Seattle WA 98122,"(47.6081862, -122.3025461)",47.6081862,-122.3025461
Julian Peña Gallery,(206) 745-0211,www.julianpenagallery.com,120,Capitol Hill,Y,Community Gallery and Studio,2020,R,,2022,2020,,0,0,Y,120,N,,Y,Yes,N,"Julian Peña Gallery exhibits contemporary artworks by under-represented artists to local and international patrons through unique arts engagement experiences developing and deepening connections between artists, patrons, and their community.",N,No,5,4,"Yes, we serve under represented and traditionally under resourced local artists.","Yes, we serve under represented and traditionally under resourced local artists.",Yes,Yes,,,"1633 Bellevue Ave, Suite C","(47.616089, -122.327157)",47.616089,-122.327157
ArtFX Studio Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,420 N. 35th St. Seattle WA 98103,"(47.6513614, -122.3534984)",47.6513614,-122.3534984
House Studios,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,325 2nd Ave West Seattle WA 98119,"(47.62178, -122.359718)",47.62178,-122.359718
Columbia City Gallery SEEDArts,(206) 760-9843,www.columbiacitygallery.com,3518,Columbia City,Y,Performance,1998,O,1921,0,1975,0,1,252,,,Y,15,Y,Y,Y,,Y,,5,,,,,,,0,4864 Rainier Ave S Seattle WA 98118,"(47.558197, -122.2850094)",47.558197,-122.2850094
Regal Meridian 16,,,,,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,1501 7th Ave Seattle WA 98101,"(47.6117662, -122.3338683)",47.6117662,-122.3338683
Caravan Gallery-Parlor and Roadside Attractions,(206) 799-1180,www.acaravan.com,260,West Seattle,N,Performance,2011,O,1974,0,2008,0,1,25,Y,200,N,0,Y,Y,N,,N,,5,,,,,,,0,,,,
University of Washington East Asia Library,,,,,,Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,"322 Gowen Hall, Seattle WA 98195","(47.6563251, -122.3076233)",47.6563251,-122.3076233
